"","Time","Blue","Red"
"1","0","42.78846154","44.23076923"
"2","1","38.46153846","48.07692308"
"3","2","40.38461538","45.67307692"
"4","3","45.67307692","42.78846154"
"5","4","45.67307692","42.78846154"
"6","5","49.51923077","41.34615385"
"7","6","46.15384615","41.82692308"
"8","7","43.26923077","46.15384615"
"9","8","44.71153846","46.15384615"
"10","9","43.26923077","46.15384615"
"11","10","42.30769231","48.55769231"
"12","11","44.71153846","44.23076923"
"13","12","45.67307692","39.42307692"
"14","13","48.55769231","42.78846154"
"15","14","40.86538462","46.63461538"
"16","15","48.55769231","42.78846154"
"17","16","42.30769231","49.03846154"
"18","17","46.15384615","44.71153846"
"19","18","42.78846154","46.63461538"
"20","19","45.67307692","46.15384615"
"21","20","43.26923077","44.23076923"
"22","21","43.26923077","45.19230769"
"23","22","40.38461538","48.07692308"
"24","23","44.23076923","46.15384615"
"25","24","42.30769231","45.19230769"
"26","25","44.23076923","44.71153846"
"27","26","42.30769231","45.19230769"
"28","27","40.38461538","50"
"29","28","45.67307692","46.63461538"
"30","29","37.01923077","49.51923077"
"31","30","47.59615385","44.71153846"
"32","31","41.34615385","48.55769231"
"33","32","45.67307692","45.67307692"
"34","33","42.78846154","45.67307692"
"35","34","43.26923077","48.55769231"
"36","35","46.63461538","45.19230769"
"37","36","43.26923077","48.07692308"
"38","37","42.78846154","44.23076923"
"39","38","38.94230769","50.96153846"
"40","39","47.11538462","38.46153846"
"41","40","38.46153846","50.96153846"
"42","41","45.19230769","45.67307692"
"43","42","45.19230769","49.51923077"
"44","43","41.82692308","45.19230769"
"45","44","47.59615385","46.15384615"
"46","45","43.26923077","45.19230769"
"47","46","44.23076923","45.67307692"
"48","47","41.82692308","45.19230769"
"49","48","43.75","44.71153846"
"50","49","43.26923077","45.67307692"
"51","50","43.75","44.71153846"
"52","51","45.67307692","45.19230769"
"53","52","40.38461538","46.15384615"
"54","53","39.42307692","51.44230769"
"55","54","41.82692308","49.03846154"
"56","55","42.78846154","50"
"57","56","42.78846154","46.63461538"
"58","57","40.86538462","48.55769231"
"59","58","41.82692308","47.59615385"
"60","59","40.38461538","50"
"61","60","41.34615385","50.48076923"
"62","61","42.78846154","46.15384615"
"63","62","46.63461538","45.67307692"
"64","63","41.82692308","46.63461538"
"65","64","43.75","47.59615385"
"66","65","44.71153846","44.71153846"
"67","66","46.63461538","42.78846154"
"68","67","45.67307692","41.34615385"
"69","68","40.38461538","47.59615385"
"70","69","36.53846154","54.80769231"
"71","70","40.38461538","50.48076923"
"72","71","42.78846154","48.55769231"
"73","72","43.75","47.59615385"
"74","73","46.63461538","44.71153846"
"75","74","39.42307692","49.51923077"
"76","75","43.26923077","42.78846154"
"77","76","45.19230769","45.67307692"
"78","77","43.75","41.82692308"
"79","78","47.59615385","44.71153846"
"80","79","45.19230769","45.67307692"
"81","80","44.23076923","45.67307692"
"82","81","39.90384615","54.32692308"
"83","82","41.34615385","49.03846154"
"84","83","37.98076923","50.96153846"
"85","84","43.26923077","47.11538462"
"86","85","43.26923077","47.11538462"
"87","86","45.67307692","45.67307692"
"88","87","44.71153846","42.78846154"
"89","88","45.19230769","44.23076923"
"90","89","41.34615385","50.96153846"
"91","90","47.11538462","43.75"
"92","91","43.75","44.71153846"
"93","92","43.75","45.67307692"
"94","93","48.07692308","45.67307692"
"95","94","45.67307692","41.82692308"
"96","95","52.88461538","38.46153846"
"97","96","51.92307692","39.42307692"
"98","97","49.03846154","42.30769231"
"99","98","49.03846154","44.71153846"
"100","99","45.19230769","47.11538462"
"101","100","46.15384615","46.63461538"
"102","101","45.19230769","43.26923077"
"103","102","48.55769231","38.94230769"
"104","103","48.07692308","41.82692308"
"105","104","52.88461538","40.38461538"
"106","105","50.48076923","38.46153846"
"107","106","44.23076923","43.75"
"108","107","48.55769231","43.26923077"
"109","108","47.59615385","42.78846154"
"110","109","45.67307692","44.71153846"
"111","110","51.92307692","39.90384615"
"112","111","49.51923077","38.94230769"
"113","112","49.03846154","40.38461538"
"114","113","42.78846154","46.63461538"
"115","114","48.07692308","37.5"
"116","115","50.48076923","42.30769231"
"117","116","48.07692308","40.38461538"
"118","117","49.51923077","43.75"
"119","118","46.15384615","43.75"
"120","119","48.07692308","41.34615385"
"121","120","46.63461538","44.23076923"
"122","121","45.67307692","42.30769231"
"123","122","48.07692308","40.38461538"
"124","123","54.32692308","35.57692308"
"125","124","48.07692308","39.42307692"
"126","125","50","38.94230769"
"127","126","45.19230769","43.26923077"
"128","127","48.55769231","42.30769231"
"129","128","53.36538462","38.94230769"
"130","129","53.36538462","39.90384615"
"131","130","54.80769231","34.61538462"
"132","131","56.25","34.61538462"
"133","132","54.32692308","37.5"
"134","133","50","38.46153846"
"135","134","56.73076923","33.65384615"
"136","135","49.03846154","39.90384615"
"137","136","50.96153846","35.57692308"
"138","137","54.32692308","37.01923077"
"139","138","55.28846154","36.53846154"
"140","139","53.36538462","36.53846154"
"141","140","55.28846154","36.05769231"
"142","141","50","37.98076923"
"143","142","53.84615385","36.05769231"
"144","143","54.80769231","37.98076923"
"145","144","47.59615385","39.90384615"
"146","145","56.25","32.69230769"
"147","146","48.07692308","41.82692308"
"148","147","49.03846154","41.34615385"
"149","148","46.15384615","42.78846154"
"150","149","51.44230769","38.46153846"
"151","150","50.48076923","36.53846154"
"152","151","50.48076923","41.82692308"
"153","152","44.23076923","45.67307692"
"154","153","46.15384615","46.15384615"
"155","154","53.84615385","39.42307692"
"156","155","46.15384615","42.78846154"
"157","156","47.11538462","41.82692308"
"158","157","47.11538462","44.71153846"
"159","158","49.03846154","40.86538462"
"160","159","49.03846154","45.19230769"
"161","160","36.53846154","49.51923077"
"162","161","46.15384615","45.67307692"
"163","162","39.90384615","46.63461538"
"164","163","43.26923077","46.15384615"
"165","164","44.23076923","46.63461538"
"166","165","50.48076923","40.38461538"
"167","166","49.03846154","40.86538462"
"168","167","42.30769231","47.11538462"
"169","168","39.90384615","51.44230769"
